Date,State,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-01,andhrapradesh,Onion Big,25,29 - 32,30 - 41,1kg,N/A
2024-05-01,andhrapradesh,Onion Small,32,37 - 41,38 - 53,1kg,N/A
2024-05-01,andhrapradesh,Tomato,27,31 - 34,32 - 45,1kg,N/A
2024-05-01,andhrapradesh,Green Chilli,42,48 - 53,50 - 69,1kg,N/A
2024-05-01,andhrapradesh,Beetroot,36,41 - 46,43 - 59,1kg,N/A
2024-05-01,andhrapradesh,Potato,32,37 - 41,38 - 53,1kg,N/A
2024-05-01,andhrapradesh,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-01,andhrapradesh,Amaranth Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-01,andhrapradesh,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-01,andhrapradesh,Ash gourd,19,22 - 24,23 - 31,1kg,N/A
2024-05-01,andhrapradesh,Baby Corn,48,55 - 61,58 - 79,1kg,N/A
2024-05-01,andhrapradesh,Banana Flower,14,16 - 18,17 - 23,1kg,N/A
2024-05-01,andhrapradesh,Capsicum,50,58 - 64,60 - 83,1kg,N/A
2024-05-01,andhrapradesh,Bitter Gourd,35,40 - 44,42 - 58,1kg,N/A
2024-05-01,andhrapradesh,Bottle Gourd,27,31 - 34,32 - 45,1kg,N/A
2024-05-01,andhrapradesh,Butter Beans,47,54 - 60,56 - 78,1kg,N/A
2024-05-01,andhrapradesh,Broad Beans,29,33 - 37,35 - 48,1kg,N/A
2024-05-01,andhrapradesh,Cabbage,21,24 - 27,25 - 35,1kg,N/A
2024-05-01,andhrapradesh,Carrot,45,52 - 57,54 - 74,1kg,N/A
2024-05-01,andhrapradesh,Cauliflower,26,30 - 33,31 - 43,1kg,N/A
2024-05-01,andhrapradesh,Cluster beans,43,49 - 55,52 - 71,1kg,N/A
2024-05-01,andhrapradesh,Coconut,34,39 - 43,41 - 56,1kg,N/A
2024-05-01,andhrapradesh,Colocasia Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-01,andhrapradesh,Colocasia,28,32 - 36,34 - 46,1kg,N/A
2024-05-01,andhrapradesh,Coriander Leaves,10,12 - 13,12 - 17,1kg,N/A
2024-05-01,andhrapradesh,Corn,29,33 - 37,35 - 48,1kg,N/A
2024-05-01,andhrapradesh,Cucumber,25,29 - 32,30 - 41,1kg,N/A
2024-05-01,andhrapradesh,Curry Leaves,28,32 - 36,34 - 46,1kg,N/A
2024-05-01,andhrapradesh,Dill Leaves,12,14 - 15,14 - 20,1kg,N/A
2024-05-01,andhrapradesh,Drumsticks,40,46 - 51,48 - 66,1kg,N/A
2024-05-01,andhrapradesh,Brinjal,23,26 - 29,28 - 38,1kg,N/A
2024-05-01,andhrapradesh,Brinjal (Big),23,26 - 29,28 - 38,1kg,N/A
2024-05-01,andhrapradesh,Elephant Yam,28,32 - 36,34 - 46,1kg,N/A
2024-05-01,andhrapradesh,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,N/A
